"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"32","0","22","0","21","0","29","0","31","0","58","41","41","43","41","35","31","38","32","33"
,"31","0","22","0","20","0","29","0","29","0","58","40","40","42","42","35","32","38","32","33"
,"31","0","23","0","20","0","29","0","29","0","59","40","40","42","42","35","32","38","32","33"
,"31","0","23","0","19","0","29","0","29","0","59","40","40","42","43","35","34","38","32","33"
,"31","0","23","0","19","0","29","0","29","0","59","40","40","42","43","35","33","38","32","33"
,"30","0","23","0","18","0","29","0","29","0","58","40","39","42","43","35","35","38","34","32"
,"30","0","23","0","17","0","27","0","28","0","58","40","38","42","44","34","34","38","33","32"
,"29","0","23","0","17","0","27","0","27","0","59","40","38","42","44","34","35","38","33","32"
,"29","0","24","0","18","0","26","0","25","0","59","40","38","42","45","34","35","38","34","32"
,"29","0","24","0","18","0","26","0","25","0","57","40","38","42","46","34","35","37","35","32"
,"29","0","24","0","18","0","26","0","25","0","57","40","38","42","47","34","35","37","37","31"
,"29","0","23","0","17","0","27","0","24","0","57","40","37","42","47","34","35","36","37","31"
,"29","0","22","0","16","0","27","0","23","0","57","40","38","42","47","34","36","36","37","31"
,"29","0","21","0","16","0","29","0","22","0","57","40","37","42","46","34","35","36","36","30"
,"28","0","21","0","15","0","29","0","23","0","57","40","37","42","46","34","35","36","37","30"
,"29","0","21","0","14","0","29","0","23","0","57","40","37","42","46","34","34","36","37","30"
,"29","0","21","0","14","0","29","0","23","0","57","40","36","41","46","34","34","36","37","29"
,"29","0","20","0","14","0","29","0","24","0","57","40","36","41","46","34","34","36","38","29"
,"29","0","20","0","14","0","29","0","24","0","58","40","36","41","46","34","35","36","38","29"
,"29","0","20","0","14","0","29","0","24","0","59","40","35","41","45","34","35","36","38","29"
,"29","0","20","0","13","0","29","0","24","0","60","40","35","41","46","34","35","36","40","29"
,"28","0","20","0","13","0","29","0","24","0","60","40","35","41","45","34","35","36","40","28"
,"29","0","20","0","13","0","27","0","25","0","60","40","35","41","45","34","36","36","40","28"
,"30","0","20","0","13","0","26","0","25","0","61","40","35","41","48","34","36","36","41","28"
,"29","0","20","0","14","0","26","0","25","0","61","40","34","40","49","34","36","36","40","28"
,"29","0","19","0","14","0","26","0","24","0","60","40","33","40","49","34","37","36","40","28"
,"29","0","19","0","14","0","26","0","24","0","60","40","33","40","49","34","37","36","40","28"
,"29","0","19","0","14","0","25","0","24","0","62","40","33","40","48","34","37","36","40","28"
,"29","0","18","0","15","0","25","0","24","0","63","40","33","40","49","34","37","36","41","28"
,"29","0","18","0","17","0","26","0","24","0","62","40","33","40","49","34","37","35","41","27"
,"28","0","18","0","17","0","26","0","24","0","63","40","34","40","49","34","36","34","41","27"
,"27","0","17","0","17","0","25","0","24","0","63","40","34","38","49","34","37","34","42","27"
,"27","0","17","0","17","0","24","0","24","0","63","40","34","38","49","34","38","34","42","26"
,"28","0","17","0","17","0","24","0","24","0","63","40","34","38","49","34","38","34","41","26"
,"28","0","17","0","17","0","24","0","24","0","63","40","34","38","48","34","38","34","41","26"
,"28","0","17","0","17","0","24","0","24","0","62","40","36","38","49","34","38","34","40","26"
,"28","0","18","0","17","0","24","0","24","0","62","40","36","38","51","34","38","34","40","26"
,"28","0","18","0","17","0","23","0","23","0","62","40","35","38","50","34","38","34","40","26"
,"28","0","18","0","16","0","20","0","23","0","62","40","35","38","51","34","38","34","40","26"
,"26","0","18","0","16","0","20","0","23","0","63","39","35","38","51","34","38","34","40","26"
,"26","0","18","0","16","0","20","0","23","0","63","39","35","38","52","34","38","34","41","26"
,"27","0","18","0","15","0","20","0","22","0","64","39","35","38","52","34","38","34","40","26"
,"26","0","17","0","14","0","20","0","22","0","64","39","35","38","51","34","38","34","40","26"
,"25","0","17","0","14","0","20","0","23","0","65","38","36","38","52","34","38","34","40","26"
,"25","0","17","0","14","0","20","0","23","0","66","38","36","38","52","34","38","34","40","25"
,"25","0","17","0","14","0","20","0","22","0","69","38","36","38","51","34","38","34","40","25"
,"26","0","18","0","14","0","19","0","21","0","69","37","35","37","51","34","38","34","41","25"
,"26","0","18","0","14","0","20","0","21","0","70","36","36","37","51","34","39","34","40","25"
,"26","0","18","0","14","0","20","0","21","0","70","36","36","36","51","34","39","34","40","25"
,"26","0","17","0","13","0","20","0","21","0","70","36","36","36","51","34","40","33","40","25"
,"26","0","17","0","13","0","20","0","21","0","71","36","37","36","52","34","39","33","39","25"
,"26","0","17","0","12","0","20","0","21","0","72","36","37","36","52","34","41","33","39","25"
,"26","0","17","0","11","0","20","0","21","0","72","36","37","36","51","34","41","33","40","25"
,"25","0","18","0","10","0","20","0","20","0","72","36","39","36","52","34","41","33","40","25"
,"26","0","18","0","10","0","20","0","20","0","72","36","39","36","52","34","41","33","40","25"
,"26","0","19","0","10","0","18","0","20","0","72","36","39","36","52","34","41","33","40","25"
,"26","0","19","0","10","0","18","0","20","0","72","36","39","36","53","34","41","33","39","25"
,"26","0","19","0","10","0","17","0","20","0","71","36","40","36","55","34","41","33","39","25"
,"26","0","19","0","11","0","16","0","20","0","71","36","40","36","55","34","41","33","39","25"
,"26","0","19","0","11","0","16","0","20","0","70","36","40","36","55","34","42","33","39","25"
,"25","0","19","0","11","0","16","0","20","0","68","36","41","36","55","34","42","33","39","25"
,"26","0","19","0","11","0","16","0","19","0","67","35","41","36","55","34","41","33","39","25"
,"26","0","19","0","11","0","16","0","19","0","67","35","40","36","55","34","41","33","37","25"
,"26","0","18","0","11","0","16","0","17","0","68","35","40","36","56","34","41","33","37","25"
,"26","0","19","0","10","0","16","0","17","0","68","35","41","36","56","34","42","33","37","25"
,"26","0","18","0","10","0","16","0","17","0","68","35","41","36","56","34","42","33","36","25"
,"26","0","18","0","10","0","16","0","17","0","67","35","41","36","57","34","43","33","36","25"
,"26","0","19","0","10","0","16","0","16","0","68","35","41","36","57","34","43","33","36","25"
,"26","0","19","0","10","0","15","0","15","0","67","35","41","36","57","34","43","33","38","25"
,"26","0","19","0","10","0","15","0","15","0","67","35","41","36","59","34","43","33","38","25"
,"26","0","20","0","10","0","15","0","15","0","67","35","42","36","60","34","43","33","37","25"
,"26","0","20","0","10","0","15","0","15","0","65","35","42","36","59","34","43","33","37","25"
,"26","0","20","0","10","0","15","0","14","0","65","35","42","36","60","33","43","33","39","25"
,"27","0","20","0","10","0","15","0","12","0","65","35","43","36","60","33","43","33","39","25"
,"26","0","19","0","10","0","15","0","12","0","65","35","43","36","59","33","43","32","39","25"
,"26","0","19","0","10","0","15","0","12","0","65","35","43","36","59","33","42","32","39","25"
,"26","0","19","0","10","0","15","0","12","0","67","35","42","36","60","33","42","32","39","25"
,"27","0","19","0","10","0","15","0","12","0","68","35","43","36","61","33","41","32","41","25"
,"27","0","19","0","10","0","15","0","12","0","68","35","43","36","61","33","40","32","41","25"
,"28","0","20","0","9","0","15","0","12","0","68","35","42","36","61","31","40","32","40","23"
,"28","0","20","0","9","0","15","0","12","0","68","34","43","35","60","31","40","32","40","23"
,"27","0","19","0","9","0","13","0","12","0","68","34","43","35","61","31","40","31","40","23"
,"27","0","19","0","9","0","13","0","12","0","68","34","42","35","61","31","40","31","40","23"
,"27","0","19","0","9","0","12","0","12","0","67","34","43","35","63","31","40","31","40","23"
,"27","0","18","0","9","0","12","0","12","0","68","34","43","35","62","31","40","31","40","23"
,"27","0","18","0","9","0","11","0","12","0","69","34","43","35","62","31","40","31","39","23"
,"27","0","19","0","9","0","11","0","11","0","68","34","43","35","63","31","40","31","39","23"
,"28","0","19","0","9","0","11","0","11","0","68","34","43","35","63","31","40","31","39","23"
,"27","0","19","0","10","0","11","0","11","0","68","34","43","35","62","31","41","31","39","23"
,"27","0","17","0","10","0","11","0","11","0","68","34","43","35","62","31","41","31","39","23"
,"26","0","18","0","11","0","11","0","11","0","69","34","43","35","62","31","41","31","38","23"
,"27","0","18","0","10","0","11","0","11","0","69","34","43","34","61","31","41","31","38","23"
,"26","0","19","0","10","0","11","0","11","0","68","34","42","33","62","31","39","30","39","23"
,"25","0","18","0","10","0","10","0","11","0","69","34","43","33","62","31","40","30","38","23"
,"25","0","18","0","10","0","10","0","11","0","70","34","44","33","62","31","40","30","37","22"
,"25","0","19","0","10","0","8","0","13","0","70","34","43","33","62","31","40","30","37","22"
,"25","0","19","0","10","0","8","0","13","0","70","34","43","33","62","31","41","30","38","22"
,"24","0","19","0","10","0","8","0","13","0","71","34","42","32","62","31","42","30","38","22"
,"24","0","19","0","10","0","8","0","13","0","71","34","43","32","61","31","42","30","38","22"
,"24","0","19","0","10","0","7","0","13","0","70","34","42","31","62","31","42","30","38","22"
,"24","0","20","0","10","0","7","0","13","0","70","34","41","31","62","31","42","30","38","22"
,"24","0","19","0","10","0","6","0","14","0","73","34","41","31","63","31","41","30","38","22"
,"24","0","18","0","10","0","6","0","14","0","73","33","42","31","62","31","41","30","38","22"
,"24","0","18","0","9","0","6","0","14","0","73","33","42","31","62","31","43","30","38","22"
,"24","0","18","0","9","0","6","0","15","0","73","33","42","31","62","31","43","30","38","22"
,"24","0","18","0","9","0","6","0","15","0","73","33","43","31","62","31","44","30","38","22"
,"24","0","17","0","9","0","6","0","15","0","75","33","43","31","62","31","44","30","38","22"
,"24","0","17","0","9","0","6","0","15","0","75","33","42","31","61","31","43","30","38","21"
,"24","0","17","0","9","0","6","0","15","0","77","33","43","31","63","31","43","30","38","21"
,"24","0","16","0","9","0","6","0","15","0","79","32","45","31","63","31","44","30","38","21"
,"24","0","16","0","9","0","6","0","15","0","79","31","46","31","63","31","44","29","39","21"
,"24","0","16","0","9","0","6","0","15","0","82","31","46","31","63","31","44","29","39","21"
,"24","0","16","0","9","0","6","0","15","0","82","31","46","31","61","31","45","28","39","21"
,"24","0","16","0","9","0","6","0","14","0","82","30","46","31","60","31","46","27","39","21"
,"22","0","16","0","9","0","6","0","14","0","82","30","45","31","59","31","46","27","39","21"
,"22","0","17","0","9","0","6","0","14","0","82","30","46","31","59","31","46","26","37","21"
,"22","0","17","0","9","0","6","0","14","0","83","30","47","31","59","31","47","26","37","21"
,"22","0","18","0","9","0","6","0","13","0","82","30","47","31","61","30","48","26","38","21"
,"21","0","19","0","9","0","6","0","13","0","81","29","47","31","61","30","48","26","38","21"
,"21","0","19","0","9","0","6","0","13","0","81","29","47","31","61","30","49","26","40","21"
,"21","0","20","0","9","0","6","0","12","0","82","29","47","31","61","30","49","26","40","21"
,"20","0","19","0","9","0","6","0","12","0","82","29","47","31","61","30","50","26","40","21"
,"20","0","20","0","10","0","6","0","12","0","82","29","48","31","63","30","51","26","40","21"
,"20","0","20","0","10","0","7","0","12","0","83","28","48","31","64","30","51","26","39","21"
,"20","0","20","0","10","0","7","0","11","0","84","28","48","31","63","30","52","26","39","21"
,"19","0","20","0","10","0","7","0","11","0","84","28","48","31","63","30","52","26","39","21"
,"19","0","21","0","9","0","7","0","11","0","82","28","50","31","63","30","52","26","39","21"
,"19","0","21","0","9","0","7","0","11","0","82","28","50","31","60","30","52","26","40","21"
,"19","0","21","0","9","0","7","0","11","0","81","28","51","31","60","30","53","26","39","21"
,"19","0","19","0","9","0","7","0","11","0","82","28","51","31","61","30","51","26","39","21"
,"19","0","19","0","9","0","7","0","11","0","81","28","52","31","61","30","49","26","39","21"
,"19","0","19","0","9","0","7","0","11","0","81","28","52","31","60","30","49","26","39","21"
,"20","0","20","0","9","0","7","0","11","0","81","28","52","31","58","30","49","26","38","21"
,"20","0","19","0","9","0","7","0","12","0","80","28","52","31","58","29","49","26","38","21"
,"20","0","19","0","9","0","5","0","11","0","81","28","52","31","59","29","48","26","39","21"
,"21","0","19","0","9","0","5","0","11","0","82","28","52","31","59","29","48","26","39","21"
,"21","0","19","0","9","0","5","0","11","0","81","27","53","31","59","28","49","26","39","21"
,"21","0","18","0","9","0","5","0","11","0","81","27","54","31","61","28","47","26","40","21"
,"21","0","18","0","9","0","5","0","11","0","82","27","53","31","61","28","47","26","41","21"
,"22","0","18","0","9","0","6","0","10","0","82","27","53","31","62","28","47","26","41","21"
,"23","0","17","0","9","0","6","0","10","0","82","27","54","31","61","28","47","26","42","21"
,"24","0","16","0","9","0","5","0","10","0","80","27","54","31","60","28","46","26","42","21"
,"24","0","16","0","9","0","5","0","10","0","80","26","55","31","60","28","46","26","43","21"
,"24","0","16","0","8","0","5","0","10","0","80","26","55","31","60","28","46","26","44","21"
,"24","0","15","0","6","0","5","0","10","0","81","26","55","31","61","28","47","26","45","21"
,"25","0","13","0","6","0","5","0","10","0","82","26","54","31","62","28","47","26","45","21"
,"26","0","14","0","5","0","5","0","10","0","82","26","54","31","62","28","49","26","45","21"
,"26","0","14","0","5","0","5","0","10","0","82","26","54","31","63","28","50","26","45","21"
,"26","0","14","0","5","0","5","0","10","0","79","26","54","31","63","28","49","26","45","21"
,"27","0","14","0","5","0","4","0","8","0","81","26","55","31","63","28","48","26","45","21"
,"28","0","15","0","5","0","4","0","9","0","82","26","55","31","63","28","48","26","44","21"
,"29","0","15","0","5","0","3","0","9","0","82","26","55","31","63","28","48","26","44","21"
,"29","0","15","0","5","0","3","0","8","0","83","26","55","31","64","28","48","26","44","21"
,"29","0","15","0","5","0","3","0","8","0","82","26","57","31","64","28","48","26","43","21"
,"28","0","15","0","5","0","3","0","8","0","84","26","58","31","64","28","47","26","43","21"
,"28","0","15","0","5","0","3","0","8","0","84","26","58","31","64","28","46","26","42","21"
,"28","0","15","0","5","0","2","0","8","0","85","26","58","30","64","28","46","26","41","21"
,"28","0","15","0","4","0","2","0","8","0","86","26","58","30","64","28","46","26","40","21"
,"28","0","15","0","3","0","2","0","9","0","86","26","58","30","66","28","46","26","40","21"
,"27","0","14","0","3","0","2","0","9","0","85","26","59","30","67","28","46","26","40","21"
,"27","0","14","0","3","0","2","0","9","0","86","25","60","30","67","28","46","26","42","21"
,"25","0","14","0","4","0","2","0","9","0","86","25","59","30","69","28","47","25","43","21"
,"24","0","14","0","4","0","2","0","8","0","87","25","59","30","69","28","47","25","44","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","59","30","69","28","47","25","43","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","59","30","69","28","47","25","43","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","61","30","69","28","47","25","43","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","62","30","68","28","47","24","43","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","61","30","68","28","47","24","43","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","62","30","68","28","47","24","44","21"
,"24","0","14","0","4","0","3","0","8","0","87","25","60","30","67","28","46","24","45","21"
,"23","0","14","0","4","0","3","0","8","0","87","25","60","30","67","27","47","24","45","21"
,"23","0","14","0","4","0","3","0","8","0","89","25","61","30","67","27","47","24","45","21"
,"23","0","14","0","4","0","3","0","8","0","89","25","61","30","67","27","47","24","46","21"
,"23","0","13","0","4","0","3","0","8","0","89","25","62","30","67","27","47","24","46","21"
,"24","0","12","0","4","0","3","0","8","0","90","25","62","30","66","27","47","24","46","21"
,"24","0","13","0","3","0","3","0","8","0","90","25","62","30","67","27","48","24","46","21"
,"23","0","12","0","3","0","3","0","8","0","90","25","62","30","66","27","48","24","46","21"
,"24","0","12","0","3","0","2","0","8","0","90","25","60","30","66","27","48","24","47","21"
,"22","0","12","0","3","0","2","0","8","0","88","25","60","30","65","26","50","24","47","21"
,"22","0","12","0","3","0","2","0","8","0","88","25","60","30","65","26","50","24","47","21"
