"BehaviorSpace results (NetLogo 6.2.0)"
"main.nlogo"
"experiment"
"11/10/2021 12:08:54:529 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5"
"starting_food","10",,"10",,"10",,"10",,"10",
"reproduction_chance","1",,"1",,"1",,"1",,"1",
"max_waste","100",,"50",,"25",,"10",,"5",
"food_energy_amount","26",,"26",,"26",,"26",,"26",
"num_cleaners","50",,"50",,"50",,"50",,"50",
"starting_energy","100",,"100",,"100",,"100",,"100",
"show_energy","true",,"true",,"true",,"true",,"true",
"starting_normal_waste","13",,"13",,"13",,"13",,"13",
"reproduce_gluttons","true",,"true",,"true",,"true",,"true",
"show_waste","false",,"false",,"false",,"false",,"false",
"starting_toxic_waste","12",,"12",,"12",,"12",,"12",
"n_deposits","10",,"10",,"10",,"10",,"10",
"infinite_ticks","false",,"false",,"false",,"false",,"false",
"ticks_end","10000",,"10000",,"10000",,"10000",,"10000",
"reproduce_cleaners","false",,"false",,"false",,"false",,"false",
"num_gluttons","30",,"30",,"30",,"30",,"30",
"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"40","8","35","8","19","3","44","6","44","35"
,"39","8","35","8","19","3","44","6","43","35"
,"37","8","33","8","19","3","44","6","43","35"
,"37","8","32","8","18","3","43","6","43","35"
,"37","8","32","7","18","3","43","6","43","35"
,"37","7","32","7","18","3","43","6","42","34"
,"36","7","32","7","17","3","43","6","42","34"
,"36","7","32","6","17","3","43","6","42","33"
,"36","7","32","6","18","3","43","6","40","33"
,"34","7","32","6","18","3","43","6","39","33"
,"34","7","32","6","18","2","43","6","39","33"
,"34","6","32","6","18","2","42","6","39","33"
,"34","6","32","6","18","2","42","6","39","33"
,"33","6","32","6","18","2","42","6","39","33"
,"32","6","31","6","18","2","42","6","38","33"
,"32","6","31","6","18","2","42","6","37","33"
,"33","6","31","6","18","2","42","6","37","33"
,"33","6","31","6","18","2","41","6","35","33"
,"33","6","31","6","18","2","40","6","34","33"
,"33","6","30","6","17","2","41","6","34","32"
,"33","6","29","6","17","2","41","6","35","32"
,"33","6","29","6","17","2","39","6","35","32"
,"33","6","29","6","16","2","39","6","34","32"
,"33","6","28","6","15","2","38","6","34","32"
,"34","6","28","6","14","2","38","6","34","32"
,"34","5","28","6","14","2","36","6","34","32"
,"34","5","28","5","14","2","36","6","35","32"
,"34","5","28","5","13","2","36","6","35","32"
,"35","5","28","4","13","2","35","6","35","32"
,"35","5","28","4","13","2","35","6","36","32"
,"35","5","28","3","13","2","35","6","35","32"
,"36","4","29","2","13","2","35","6","35","32"
,"36","4","29","2","13","2","35","6","34","32"
,"37","4","29","2","13","2","35","6","34","32"
,"37","4","29","2","13","2","36","6","34","32"
,"37","4","29","2","13","2","36","6","35","32"
,"37","4","29","2","13","2","36","6","35","32"
,"37","4","29","2","14","2","36","6","35","32"
,"37","4","29","2","14","2","36","5","35","32"
,"37","4","29","2","14","2","36","5","35","32"
,"37","4","29","2","13","2","36","5","36","32"
,"37","4","29","2","12","2","36","4","36","32"
,"38","4","30","2","11","2","36","4","37","32"
,"38","4","30","1","11","2","35","4","36","32"
,"38","4","32","1","11","2","35","4","36","32"
,"39","4","32","1","11","2","35","4","36","32"
,"38","4","32","1","11","2","36","4","35","32"
,"38","4","32","1","12","2","37","4","37","32"
,"37","4","32","1","12","2","37","4","38","32"
,"37","4","32","1","12","2","37","4","39","32"
,"37","4","32","1","12","2","36","4","38","32"
,"36","4","32","1","12","2","36","4","38","32"
,"37","4","32","1","12","2","37","4","38","32"
,"38","4","32","1","12","2","36","4","38","32"
